United States (USA)	45	27	27	99
 Finland (FIN)	14	13	10	37
 France (FRA)	13	15	10	38
 Great Britain (GBR)	9	13	12	34
 Italy (ITA)	8	3	5	16
 Switzerland (SUI)	7	8	10	25
 Norway (NOR)	5	2	3	10
 Sweden (SWE)	4	13	12	29
 Netherlands (NED)	4	1	5	10
 Belgium (BEL)	3	7	3	13
 Australia (AUS)	3	1	2	6
 Denmark (DEN)	2	5	2	9
 Hungary (HUN)	2	3	4	9
 Yugoslavia (YUG)	2	0	0	2
 Czechoslovakia (TCH)	1	4	5	10
 Argentina (ARG)	1	3	2	6
 Estonia (EST)	1	1	4	6
 South Africa (RSA)	1	1	1	3
 Uruguay (URU)	1	0	0	1
 Austria (AUT)	0	3	1	4
 Canada (CAN)	0	3	1	4
 Poland (POL)	0	1	1	2
 Haiti (HAI)	0	0	1	1
 Japan (JPN)	0	0	1	1
 New Zealand (NZL)	0	0	1	1
 Portugal (POR)	0	0	1	1
 Romania (ROU)	0	0	1	1
