Country,Gold,Silver,Bronze,Total
NOR,7,5,3,15
DEU,3,3,0,6
SWE,2,2,3,7
FIN,1,2,3,6
SUI,1,2,0,3
AUT,1,1,2,4
GBR,1,1,1,3
USA,1,0,3,4
CAN,0,1,0,1
FRA,0,0,1,1
HUN,0,0,1,1
