Canada (CAN)*	14	7	5	26
 Germany (GER)	10	13	7	30
 United States (USA)	9	15	13	37
 Norway (NOR)	9	8	6	23
 South Korea (KOR)	6	6	2	14
 Switzerland (SUI)	6	0	3	9
 China (CHN)	5	2	4	11
 Sweden (SWE)	5	2	4	11
 Austria (AUT)	4	6	6	16
 Netherlands (NED)	4	1	3	8
 Russia (RUS)	3	5	7	15
 France (FRA)	2	3	6	11
 Australia (AUS)	2	1	0	3
 Czech Republic (CZE)	2	0	4	6
 Poland (POL)	1	3	2	6
 Italy (ITA)	1	1	3	5
 Belarus (BLR)	1	1	1	3
 Slovakia (SVK)	1	1	1	3
 Great Britain (GBR)	1	0	0	1
 Japan (JPN)	0	3	2	5
 Croatia (CRO)	0	2	1	3
 Slovenia (SLO)	0	2	1	3
 Latvia (LAT)	0	2	0	2
 Finland (FIN)	0	1	4	5
 Estonia (EST)	0	1	0	1
 Kazakhstan (KAZ)	0	1	0	1
