Country,Gold,Silver,Bronze,Total
GDR,9,9,6,24
URS,6,10,9,25
USA,4,4,0,8
FIN,4,3,6,13
SWE,4,2,2,8
NOR,3,2,4,9
SUI,2,2,1,5
CAN,2,1,1,4
FRG,2,1,1,4
ITA,2,0,0,2
GBR,1,0,0,1
TCH,0,2,4,6
FRA,0,1,2,3
JPN,0,1,0,1
YUG,0,1,0,1
LIE,0,0,2,2
AUT,0,0,1,1
