Great Britain (GBR)	56	51	39 [a]	146
 United States (USA)	23	12	12	47
 Sweden (SWE)	8	6	11	25
 France (FRA)	5	5	9	19
 Germany (GER)	3	5	5 [a]	13
 Hungary (HUN)	3	4	2	9
 Canada (CAN)	3	3	10	16
 Norway (NOR)	2	3	3	8
 Italy (ITA)	2	2	0	4
 Belgium (BEL)	1	5	2	8
 Australasia (ANZ)	1	2	2	5
 Russian Empire (RU1)	1	2	0	3
 Finland (FIN)	1	1	3	5
 South Africa (RSA)	1	1	0	2
 Greece (GRE)	0	3	1 [b]	4
 Denmark (DEN)	0	2	3	5
 Bohemia (BOH)	0	0	2	2
 Netherlands (NED)	0	0	2	2
 Austria (AUT)	0	0	1	1
