Country,Gold,Silver,Bronze,Total
USA,78,82,79,239
DEU,4,4,5,13
CUB,4,2,3,9
CAN,4,1,1,6
HUN,2,1,1,4
GBR,1,1,0,2
ZZX,1,1,0,2
GRE,1,0,1,2
SUI,1,0,1,2
AUT,0,0,1,1
