Germany (GER)	33	26	30	89
 United States (USA)	24	20	12	56
 Hungary (HUN)	10	1	5	16
 Italy (ITA)	8	9	5	22
 Finland (FIN)	7	6	6	19
 France (FRA)	7	6	6	19
 Sweden (SWE)	6	5	9	20
 Japan (JPN)[12]	6	4	8	18
 Netherlands (NED)	6	4	7	17
 Great Britain (GBR)	4	7	3	14
 Austria (AUT)	4	6	3	13
 Czechoslovakia (TCH)	3	5	0	8
 Argentina (ARG)	2	2	3	7
 Estonia (EST)	2	2	3	7
 Egypt (EGY)	2	1	2	5
 Switzerland (SUI)	1	9	5	15
 Canada (CAN)	1	3	5	9
 Norway (NOR)	1	3	2	6
 Turkey (TUR)	1	0	1	2
 India (IND)	1	0	0	1
 New Zealand (NZL)	1	0	0	1
 Poland (POL)	0	3	3	6
 Denmark (DEN)	0	2	3	5
 Latvia (LAT)	0	1	1	2
 Romania (ROU)	0	1	0	1
 South Africa (RSA)	0	1	0	1
 Yugoslavia (YUG)	0	1	0	1
 Mexico (MEX)	0	0	3	3
 Belgium (BEL)	0	0	2	2
 Australia (AUS)	0	0	1	1
 Philippines (PHI)	0	0	1	1
 Portugal (POR)	0	0	1	1
