Unified Team (EUN)	45	38	29	112
 United States (USA)	37	34	37	108
 Germany (GER)	33	21	28	82
 China (CHN)	16	22	16	54
 Cuba (CUB)	14	6	11	31
 Spain (ESP)*	13	7	2	22
 South Korea (KOR)	12	5	12	29
 Hungary (HUN)	11	12	7	30
 France (FRA)	8	5	16	29
 Australia (AUS)	7	9	11	27
 Canada (CAN)	7	4	7	18
 Italy (ITA)	6	5	8	19
 Great Britain (GBR)	5	3	12	20
 Romania (ROU)	4	6	8	18
 Czechoslovakia (TCH)	4	2	1	7
 North Korea (PRK)	4	0	5	9
 Japan (JPN)	3	8	11	22
 Bulgaria (BUL)	3	7	6	16
 Poland (POL)	3	6	10	19
 Netherlands (NED)	2	6	7	15
 Kenya (KEN)	2	4	2	8
 Norway (NOR)	2	4	1	7
 Turkey (TUR)	2	2	2	6
 Indonesia (INA)	2	2	1	5
 Brazil (BRA)	2	1	0	3
 Greece (GRE)	2	0	0	2
 Sweden (SWE)	1	7	4	12
 New Zealand (NZL)	1	4	5	10
 Finland (FIN)	1	2	2	5
 Denmark (DEN)	1	1	4	6
 Morocco (MAR)	1	1	1	3
 Ireland (IRL)	1	1	0	2
 Ethiopia (ETH)	1	0	2	3
 Algeria (ALG)	1	0	1	2
 Estonia (EST)	1	0	1	2
 Lithuania (LTU)	1	0	1	2
 Switzerland (SUI)	1	0	0	1
 Jamaica (JAM)	0	3	1	4
 Nigeria (NGR)	0	3	1	4
 Latvia (LAT)	0	2	1	3
 Austria (AUT)	0	2	0	2
 Namibia (NAM)	0	2	0	2
 South Africa (RSA)	0	2	0	2
 Belgium (BEL)	0	1	2	3
 Croatia (CRO)	0	1	2	3
 Independent Olympic Participants (IOP)	0	1	2	3
 Iran (IRI)	0	1	2	3
 Israel (ISR)	0	1	1	2
 Chinese Taipei (TPE)	0	1	0	1
 Mexico (MEX)	0	1	0	1
 Peru (PER)	0	1	0	1
 Mongolia (MGL)	0	0	2	2
 Slovenia (SLO)	0	0	2	2
 Argentina (ARG)	0	0	1	1
 Bahamas (BAH)	0	0	1	1
 Colombia (COL)	0	0	1	1
 Ghana (GHA)	0	0	1	1
 Malaysia (MAS)	0	0	1	1
 Pakistan (PAK)	0	0	1	1
 Philippines (PHI)	0	0	1	1
 Puerto Rico (PUR)	0	0	1	1
 Qatar (QAT)	0	0	1	1
 Suriname (SUR)	0	0	1	1
 Thailand (THA)	0	0	1	1
