Country,Gold,Silver,Bronze,Total
NOR,4,7,6,17
FIN,4,4,3,11
AUT,2,1,0,3
SUI,2,0,1,3
USA,1,2,1,4
GBR,1,1,2,4
SWE,1,1,0,2
CAN,1,0,0,1
FRA,0,0,3,3
BEL,0,0,1,1
