Country,Gold,Silver,Bronze,Total
USA,83,61,30,174
ROU,20,16,17,53
FRG,17,19,23,59
CHN,15,8,9,32
ITA,14,6,12,32
CAN,10,18,16,44
JPN,10,8,14,32
NZL,8,1,2,11
YUG,7,4,7,18
KOR,6,6,7,19
GBR,5,11,21,37
FRA,5,7,16,28
NED,5,2,6,13
AUS,4,8,12,24
FIN,4,2,6,12
SWE,2,11,6,19
MEX,2,3,1,6
MAR,2,0,0,2
BRA,1,5,2,8
ESP,1,2,2,5
BEL,1,1,2,4
AUT,1,1,1,3
KEN,1,0,2,3
POR,1,0,2,3
PAK,1,0,0,1
SUI,0,4,4,8
DEN,0,3,3,6
JAM,0,1,2,3
NOR,0,1,2,3
GRE,0,1,1,2
NGR,0,1,1,2
PUR,0,1,1,2
COL,0,1,0,1
CIV,0,1,0,1
EGY,0,1,0,1
IRL,0,1,0,1
PER,0,1,0,1
SYR,0,1,0,1
THA,0,1,0,1
TUR,0,0,3,3
VEN,0,0,3,3
ALG,0,0,2,2
CMR,0,0,1,1
TPE,0,0,1,1
DOM,0,0,1,1
ISL,0,0,1,1
ZAM,0,0,1,1
