Country,Gold,Silver,Bronze,Total
URS,10,6,6,22
GDR,9,7,7,23
USA,6,4,2,12
AUT,3,2,2,7
SWE,3,0,1,4
LIE,2,2,0,4
FIN,1,5,3,9
NOR,1,3,6,10
NLD,1,2,1,4
SUI,1,1,3,5
GBR,1,0,0,1
FRG,0,2,3,5
ITA,0,2,0,2
CAN,0,1,1,2
HUN,0,1,0,1
JPN,0,1,0,1
BUL,0,0,1,1
TCH,0,0,1,1
FRA,0,0,1,1
