Country,Gold,Silver,Bronze,Total
URS,8,5,3,16
GDR,4,3,7,14
SUI,4,3,3,10
NLD,4,3,2,9
USA,3,2,3,8
FRG,3,1,1,5
NOR,2,5,5,12
ITA,2,2,1,5
AUT,1,2,2,5
SWE,1,1,2,4
JPN,1,1,1,3
TCH,1,0,2,3
POL,1,0,0,1
ESP,1,0,0,1
FIN,0,4,1,5
FRA,0,1,2,3
CAN,0,1,0,1
