Country,Gold,Silver,Bronze,Total
USA,11,7,2,20
GRE,10,17,19,46
GER,6,5,2,13
FRA,5,4,2,11
GBR,2,3,2,7
HUN,2,1,3,6
AUT,2,1,2,5
AUS,2,0,0,2
DEN,1,2,3,6
SUI,1,2,0,3
