Norway (NOR)	13	5	7	25
 Germany (GER)	12	16	8	36
 United States (USA)*	10	13	11	34
 Canada (CAN)	7	3	7	17
 Russia (RUS)	5	4	4	13
 France (FRA)	4	5	2	11
 Italy (ITA)	4	4	5	13
 Finland (FIN)	4	2	1	7
 Netherlands (NED)	3	5	0	8
 Austria (AUT)	3	4	10	17
 Switzerland (SUI)	3	2	6	11
 Croatia (CRO)	3	1	0	4
 China (CHN)	2	2	4	8
 South Korea (KOR)	2	2	0	4
 Australia (AUS)	2	0	0	2
 Czech Republic (CZE)	1	2	0	3
 Estonia (EST)	1	1	1	3
 Great Britain (GBR)	1	0	1	2
 Sweden (SWE)	0	2	5	7
 Bulgaria (BUL)	0	1	2	3
 Japan (JPN)	0	1	1	2
 Poland (POL)	0	1	1	2
 Belarus (BLR)	0	0	1	1
 Slovenia (SLO)	0	0	1	1
