Germany (GER)	12	9	8	29
 Norway (NOR)	10	10	5	25
 Russia (RUS)	9	6	3	18
 Canada (CAN)	6	5	4	15
 United States (USA)	6	3	4	13
 Netherlands (NED)	5	4	2	11
 Japan (JPN)*	5	1	4	10
 Austria (AUT)	3	5	9	17
 South Korea (KOR)	3	1	2	6
 Italy (ITA)	2	6	2	10
 Finland (FIN)	2	4	6	12
 Switzerland (SUI)	2	2	3	7
 France (FRA)	2	1	5	8
 Czech Republic (CZE)	1	1	1	3
 Bulgaria (BUL)	1	0	0	1
 China (CHN)	0	6	2	8
 Sweden (SWE)	0	2	1	3
 Denmark (DEN)	0	1	0	1
 Ukraine (UKR)	0	1	0	1
 Belarus (BLR)	0	0	2	2
 Kazakhstan (KAZ)	0	0	2	2
 Australia (AUS)	0	0	1	1
 Belgium (BEL)	0	0	1	1
 Great Britain (GBR)	0	0	1	1
