United States (USA)	41	32	30	103
 Italy (ITA)	12	12	12	36
 France (FRA)	10	5	4	19
 Sweden (SWE)	9	5	9	23
 Japan (JPN)	7	7	4	18
 Hungary (HUN)	6	4	5	15
 Finland (FIN)	5	8	12	25
 Great Britain (GBR)	4	7	5	16
 Germany (GER)	3	12	5	20
 Australia (AUS)	3	1	1	5
 Argentina (ARG)	3	1	0	4
 Canada (CAN)	2	5	8	15
 Netherlands (NED)	2	5	0	7
 Poland (POL)	2	1	4	7
 South Africa (RSA)	2	0	3	5
 Ireland (IRL)	2	0	0	2
 Czechoslovakia (TCH)	1	2	1	4
 Austria (AUT)	1	1	3	5
 India (IND)	1	0	0	1
 Denmark (DEN)	0	3	3	6
 Mexico (MEX)	0	2	0	2
 Latvia (LAT)	0	1	0	1
 New Zealand (NZL)	0	1	0	1
 Switzerland (SUI)	0	1	0	1
 Philippines (PHI)	0	0	3	3
 Spain (ESP)	0	0	1	1
 Uruguay (URU)	0	0	1	1
