Country,Gold,Silver,Bronze,Total
USA,6,4,2,12
NOR,3,4,3,10
SWE,1,2,0,3
CAN,1,1,5,7
FIN,1,1,1,3
AUT,1,1,0,2
FRA,1,0,0,1
CHE,0,1,0,1
DEU,0,0,2,2
HUN,0,0,1,1
