Country,Gold,Silver,Bronze,Total
NOR,6,6,2,14
URS,5,5,3,13
FRA,4,3,2,9
ITA,4,0,0,4
AUT,3,4,4,11
NLD,3,3,3,9
SWE,3,2,3,8
FRG,2,2,3,7
USA,1,5,1,7
GDR,1,2,2,5
FIN,1,2,2,5
TCH,1,2,1,4
CAN,1,1,1,3
CHE,0,2,4,6
ROU,0,0,1,1
