Country,Gold,Silver,Bronze,Total
NOR,6,4,5,15
USA,2,2,2,6
SWE,2,2,1,5
FIN,2,1,1,4
CAN,1,0,0,1
FRA,1,0,0,1
AUT,0,3,1,4
BEL,0,0,1,1
TCH,0,0,1,1
DEU,0,0,1,1
GBR,0,0,1,1
CHE,0,0,1,1
