Country,Gold,Silver,Bronze,Total
USA,25,19,19,63
SWE,24,24,17,65
GBR,10,15,16,41
FIN,9,8,9,26
FRA,7,4,3,14
DEU,5,13,7,25
ZAF,4,2,0,6
NOR,4,1,4,9
CAN,3,2,3,8
HUN,3,2,3,8
ITA,3,1,2,6
ANZ,2,2,3,7
BEL,2,1,3,6
DNK,1,6,5,12
GRC,1,0,1,2
RU1,0,2,3,5
AUT,0,2,2,4
NLD,0,0,3,3
