Country,Gold,Silver,Bronze,Total
URS,11,9,9,29
GDR,9,10,6,25
CHE,5,5,5,15
FIN,4,1,2,7
SWE,4,0,2,6
AUT,3,5,2,10
NLD,3,2,2,7
FRG,2,4,2,8
USA,2,1,3,6
ITA,2,1,2,5
FRA,1,0,1,2
NOR,0,3,2,5
CAN,0,2,3,5
YUG,0,2,1,3
TCH,0,1,2,3
JPN,0,0,1,1
LIE,0,0,1,1
