Country,Gold,Silver,Bronze,Total
URS,49,41,35,125
GDR,40,25,25,90
USA,34,35,25,94
FRG,10,12,17,39
JPN,9,6,10,25
POL,7,6,13,26
BGR,6,9,7,22
CUB,6,4,3,13
ROU,4,9,14,27
HUN,4,5,13,22
FIN,4,2,0,6
SWE,4,1,0,5
GBR,3,5,5,13
ITA,2,7,4,13
FRA,2,3,4,9
YUG,2,3,3,8
TCH,2,2,4,8
NZL,2,1,1,4
KOR,1,1,4,6
CHE,1,1,2,4
JAM,1,1,0,2
PRK,1,1,0,2
NOR,1,1,0,2
DNK,1,0,2,3
MEX,1,0,1,2
TRI,1,0,0,1
CAN,0,5,6,11
BEL,0,3,3,6
NLD,0,2,3,5
PRT,0,2,0,2
ESP,0,2,0,2
AUS,0,1,4,5
IRN,0,1,1,2
MNG,0,1,0,1
VEN,0,1,0,1
BRA,0,0,2,2
AUT,0,0,1,1
BER,0,0,1,1
PAK,0,0,1,1
PRI,0,0,1,1
THA,0,0,1,1
