Country,Gold,Silver,Bronze,Total
URS,7,3,6,16
AUT,4,3,4,11
FIN,3,3,1,7
CHE,3,2,1,6
SWE,2,4,4,10
USA,2,3,2,7
NOR,2,1,1,4
ITA,1,2,0,3
EUA,1,0,1,2
CAN,0,1,2,3
JPN,0,1,0,1
HUN,0,0,1,1
POL,0,0,1,1
