Country,Gold,Silver,Bronze,Total
NOR,4,3,3,10
SWE,4,3,3,10
CHE,3,4,3,10
USA,3,4,2,9
FRA,2,1,2,5
CAN,2,0,1,3
AUT,1,3,4,8
FIN,1,3,2,6
BEL,1,1,0,2
ITA,1,0,0,1
TCH,0,1,0,1
HUN,0,1,0,1
GBR,0,0,2,2
