Country,Gold,Silver,Bronze,Total
USA,41,27,27,95
SWE,19,20,25,64
GBR,15,15,13,43
FIN,15,10,9,34
BEL,14,11,11,36
NOR,13,9,9,31
ITA,13,5,5,23
FRA,9,19,13,41
NLD,4,2,5,11
DNK,3,9,1,13
ZAF,3,4,3,10
CAN,3,3,3,9
CHE,2,2,7,11
EST,1,2,0,3
BRA,1,1,1,3
AUS,0,2,1,3
JPN,0,2,0,2
ESP,0,2,0,2
GRC,0,1,0,1
LUX,0,1,0,1
TCH,0,0,2,2
NZL,0,0,1,1
